Date,Open,High,Low,Close,Adj Close,Volume
12/03/2013,62.23,62.697144,61.081429,61.204285,45.979752,116477900
13/03/2013,61.21,62.07143,60.765713,61.192856,45.971157,101387300
14/03/2013,61.83,62.091427,61.492859,61.785713,46.416542,75968900
15/03/2013,62.56,63.46143,62.464287,63.380001,47.614262,160990200
18/03/2013,63.06,65.351425,63.028572,65.102859,48.908558,151549300
19/03/2013,65.64,65.852859,64.071426,64.927139,48.776543,131693800
20/03/2013,65.35,65.375717,64.227142,64.582855,48.517902,77165200
21/03/2013,64.32,65.425713,64.300003,64.675713,48.587666,95813900
22/03/2013,64.94,66.014282,64.730003,65.987144,49.572872,98776300
25/03/2013,66.38,67.135712,65.968575,66.225716,49.752098,125283900
26/03/2013,66.49,66.548569,65.790001,65.877144,49.490242,73573500
27/03/2013,65.21,65.257141,64.389999,64.582855,48.517902,82809300
28/03/2013,64.26,64.545715,63.08857,63.237144,47.506943,110709900
01/04/2013,63.13,63.385715,61.105713,61.272858,46.031269,97433000
02/04/2013,61.09,62.591427,60.914288,61.398571,46.12571,132379800
03/04/2013,61.62,62.468571,61.472858,61.712856,46.361816,90804000
04/04/2013,61.97,62.142857,60.75,61.102856,45.903553,89611900
05/04/2013,60.64,60.707142,59.954285,60.457142,45.418461,95923800
08/04/2013,60.69,61.07143,60.355713,60.887142,45.741501,75207300
09/04/2013,60.91,61.214287,60.392857,60.997143,45.824142,76653500
10/04/2013,61.16,62.437141,60.85857,62.241428,46.758904,93982000
11/04/2013,61.96,62.57,61.599998,62.047142,46.612953,82091100
12/04/2013,62.02,62.021427,61.298573,61.400002,46.126785,59653300
15/04/2013,61.00,61.127144,59.935715,59.978573,45.058937,79380000
16/04/2013,60.22,60.944286,60.081429,60.89143,45.74472,76442800
17/04/2013,60.04,60.085712,56.872856,57.542858,43.229103,236264000
18/04/2013,57.86,57.970001,55.677143,56.007141,42.075397,166574800
19/04/2013,55.42,57.085712,55.014286,55.790001,41.91227,152318600
22/04/2013,56.09,57.457142,55.895714,56.952858,42.78587,107480100
23/04/2013,57.71,58.34,56.972858,58.01857,43.586483,166059600
24/04/2013,56.22,59.32143,56.07143,57.922855,43.514576,242412800
25/04/2013,58.75,59.134285,58.142857,58.34,43.827953,96209400
26/04/2013,58.54,59.824287,58.32143,59.599998,44.774532,191024400
29/04/2013,60.06,61.945713,60,61.445713,46.161125,160081600
30/04/2013,62.16,63.607143,61.724285,63.254284,47.519817,172884600
01/05/2013,63.49,63.561428,62.055714,62.755714,47.14526,126727300
02/05/2013,63.11,64.084282,62.947144,63.645714,47.813877,105457100
03/05/2013,64.47,64.747147,64.164284,64.28286,48.29253,90325200
06/05/2013,65.10,66.028572,64.901428,65.815712,49.444092,124160400
07/05/2013,66.42,66.535713,64.814285,65.522858,49.224079,120938300
08/05/2013,65.58,66.48143,65.115715,66.262856,49.780014,118149500
09/05/2013,65.69,66.14286,65.082855,65.252853,51.386501,99621900
10/05/2013,65.42,65.672859,64.354286,64.709999,50.959003,83713000
13/05/2013,64.50,65.414284,64.5,64.96286,51.158127,79237200
14/05/2013,64.84,65.028572,63.164288,63.408573,49.934139,111779500
15/05/2013,62.74,63,60.337143,61.264286,48.245518,185403400
16/05/2013,60.46,62.549999,59.842857,62.082859,48.890141,150801000
17/05/2013,62.72,62.869999,61.572857,61.894287,48.741634,106976100
20/05/2013,61.70,63.685715,61.442856,63.275715,49.829506,112894600
21/05/2013,62.59,63.639999,62.028572,62.808571,49.461632,114005500
22/05/2013,63.44,64.050003,62.602856,63.049999,49.65176,110759600
23/05/2013,62.28,63.737144,62.255714,63.162857,49.740639,88255300
24/05/2013,62.98,63.665714,62.908573,63.592857,50.079258,69041700
28/05/2013,64.27,64.444283,62.978573,63.062859,49.661888,96536300
29/05/2013,62.86,63.92857,62.771427,63.564285,50.056763,82644100
30/05/2013,63.66,64.928574,63.501427,64.511429,50.80262,88379900
31/05/2013,64.64,65.300003,64.214287,64.247147,50.594505,96075700
03/06/2013,64.39,64.622856,63.21143,64.388573,50.705879,93088100
04/06/2013,64.75,64.918571,63.912857,64.187141,50.547253,73182200
05/06/2013,63.66,64.388573,63.387142,63.587143,50.074749,72647400
06/06/2013,63.64,63.857143,62.007141,62.637142,49.32663,104233500
07/06/2013,62.36,63.32,61.824287,63.115715,49.703495,101133900
10/06/2013,63.53,64.154289,62.400002,62.69857,49.375011,112538300
11/06/2013,62.25,63.251427,61.902859,62.514286,49.229885,71528100
12/06/2013,62.79,63.035713,61.642857,61.741428,48.621258,66306800
13/06/2013,61.79,62.44857,61.25,62.279999,49.045383,71458100
14/06/2013,62.20,62.327145,61.214287,61.435715,48.380501,67966500
17/06/2013,61.63,62.242859,61.48,61.714287,48.599888,64853600
18/06/2013,61.65,62.128571,61.458572,61.681427,48.574013,48756400
19/06/2013,61.63,61.665714,60.42857,60.42857,47.587383,77735000
20/06/2013,59.90,60.854286,59.310001,59.548573,46.894386,89327700
21/06/2013,59.78,60,58.299999,59.07143,46.518639,120279600
24/06/2013,58.20,58.380001,56.864285,57.505714,45.285645,120186500
25/06/2013,57.96,58.255714,56.975716,57.51857,45.295761,78540700
26/06/2013,57.70,57.827145,56.522858,56.867142,44.782761,91931000
27/06/2013,57.04,57.341427,56.220001,56.254284,44.300152,84311500
28/06/2013,55.91,57.181427,55.552856,56.647144,44.60952,144629100
01/07/2013,57.53,58.895714,57.317142,58.459999,46.037144,97763400
02/07/2013,58.57,60.232857,58.495716,59.784286,47.080013,117466300
03/07/2013,60.12,60.425713,59.635715,60.114285,47.339897,60232200
05/07/2013,60.06,60.470001,59.335712,59.631428,46.959633,68506200
08/07/2013,60.02,60.142857,58.664288,59.292858,46.693024,74534600
09/07/2013,59.09,60.5,58.625713,60.335712,47.514259,88146100
10/07/2013,59.94,60.685715,59.75,60.104286,47.332016,70351400
11/07/2013,60.42,61.17857,60.167141,61.041428,48.070007,81573100
12/07/2013,61.09,61.398571,60.487144,60.93,47.982258,69890800
15/07/2013,60.72,61.637142,60.685715,61.062859,48.086895,60479300
16/07/2013,60.93,61.529999,60.595715,61.457142,48.397388,54134500
17/07/2013,61.39,61.745716,61.174286,61.472858,48.40976,49747600
18/07/2013,61.91,62.124287,61.515713,61.68,48.572884,54719700
19/07/2013,61.87,61.997143,60.621429,60.707142,47.806759,67180400
22/07/2013,61.35,61.392857,60.781429,60.901428,47.959751,51949100
23/07/2013,60.86,60.994286,59.815716,59.855713,47.136261,92348900
24/07/2013,62.70,63.512856,62.18,62.93,49.557259,147984200
25/07/2013,62.96,63.057144,62.258572,62.642857,49.331131,57373400
26/07/2013,62.19,63.005714,62.048573,62.998573,49.611259,50038100
29/07/2013,62.97,64.284286,62.885715,63.970001,50.376263,62014400
30/07/2013,64.28,65.307144,64.175713,64.760002,50.998383,77355600
31/07/2013,65.00,65.334282,64.204285,64.647141,50.909496,80739400
01/08/2013,65.11,65.257141,64.751427,65.239998,51.376381,51562700
02/08/2013,65.43,66.121429,65.237144,66.077141,52.035625,68695900
05/08/2013,66.38,67.238571,66.021431,67.064285,52.812996,79713900
06/08/2013,66.86,67.412857,66.024284,66.464287,52.3405,83714400
07/08/2013,66.26,66.714287,65.96714,66.425713,52.310131,74714500
08/08/2013,66.27,66.300003,65.421425,65.858574,54.359474,63944300
09/08/2013,65.52,65.779999,64.807144,64.921425,53.585949,66716300
12/08/2013,65.27,66.949997,65.232857,66.765717,55.108223,91108500
13/08/2013,67.28,70.665718,66.864288,69.938568,57.727097,220485300
14/08/2013,71.13,72.035713,70.485718,71.214287,58.780064,189093100
15/08/2013,70.92,71.771431,69.868568,71.129997,58.710487,122573500
16/08/2013,71.45,71.848572,71.265717,71.761429,59.231678,90576500
19/08/2013,72.05,73.391426,72,72.534286,59.869579,127629600
20/08/2013,72.82,72.938568,71.545715,71.581429,59.083099,89672100
21/08/2013,71.94,72.449997,71.599998,71.765717,59.235214,83969900
22/08/2013,72.14,72.227142,71.171425,71.851425,59.305954,61051900
23/08/2013,71.90,71.907143,71.335716,71.574287,59.077213,55682900
26/08/2013,71.54,72.885712,71.5,71.852859,59.307129,82741400
27/08/2013,71.14,71.78714,69.471428,69.798569,57.611534,106047200
28/08/2013,69.43,70.828575,69.428574,70.128571,57.883915,76902000
29/08/2013,70.24,70.928574,70.16143,70.242859,57.978252,59914400
30/08/2013,70.29,70.421425,69.5,69.602859,57.449997,68074300
03/09/2013,70.44,71.514282,69.621429,69.797142,57.610352,82982200
04/09/2013,71.37,71.748573,70.897141,71.241432,58.80246,86258200
05/09/2013,71.46,71.525711,70.519997,70.752853,58.3992,59091900
06/09/2013,71.21,71.339996,69.992859,71.174286,58.74704,89881400
09/09/2013,72.14,72.559998,71.925713,72.309998,59.684471,85171800
10/09/2013,72.31,72.492859,69.928574,70.662857,58.324917,185798900
11/09/2013,66.72,67.669998,66.401428,66.815712,55.14949,224674100
12/09/2013,66.93,67.914284,66.572861,67.527145,55.736706,101012800
13/09/2013,67.05,67.404289,66.385712,66.414284,54.818153,74708900
16/09/2013,65.86,65.944283,63.888573,64.302856,53.075386,135926700
17/09/2013,63.99,65.672859,63.92857,65.045715,53.688541,99845200
18/09/2013,66.17,66.621429,65.808571,66.382858,54.79221,114215500
19/09/2013,67.24,67.975716,67.035713,67.471428,55.690716,101135300
20/09/2013,68.29,68.364288,66.571426,66.772858,55.114117,174825700
23/09/2013,70.87,70.987144,68.942856,70.091431,57.85326,190526700
24/09/2013,70.70,70.781425,69.688568,69.871429,57.671673,91086100
25/09/2013,69.89,69.94857,68.775711,68.790001,56.77906,79239300
26/09/2013,69.43,69.794289,69.128571,69.459999,57.332073,59305400
27/09/2013,69.11,69.238571,68.674286,68.964287,56.922916,57010100
30/09/2013,68.18,68.808571,67.772858,68.10714,56.215424,65039100
01/10/2013,68.35,69.877144,68.339996,69.708572,57.537251,88470900
